"newBatterySoc";"energyConsumption";"powerProduction";"selfUsedEnergy";"selfUsedEnergyPV";"selfUsedEnergyBattery";"feedInEnergyGrid";"gridUsedEnergy";"missedInverterPower";"missedBatteryPower";"missedFeedInPowerGrid";"lossesUnloadBattery";"lossesLoadBattery";"lossesPvGeneration";"losses";"dayTime"
"1.099120794378905e-16";"1027.2204110188147";"0";"0.8667000000000005";"0.8667000000000005";"0";"0";"1026.3537110188147";"0";"0";"0";"0";"1.099120794378906e-18";"0.13329999999999942";"0.13329999999999942";"20200103:06"
"1.099120794378905e-16";"1666.9568258916618";"0";"0.8667000000000005";"0.8667000000000004";"1.0881295864351159e-16";"0";"1666.0901258916617";"0";"0";"0";"1.099120794378906e-18";"1.099120794378906e-18";"0.13329999999999953";"0.13329999999999953";"20200103:07"
"6.53530540560024";"1814.6661299055295";"274.81";"232.45646417673356";"232.45646417673356";"1.0881295864351159e-16";"0";"1582.209665728796";"0";"0";"0";"1.099120794378906e-18";"0.06535305405600246";"35.75221723175105";"35.81757028580705";"20200103:08"
"1.5282769840279782";"1701.3548829907816";"164.95";"148.09418031916334";"141.6242279676191";"6.469952351544237";"0";"1553.2607026716182";"0";"0";"0";"0.06535305405600246";"0.015282769840279797";"21.782057907100096";"21.86269373099638";"20200103:09"
"44.03556627696551";"1578.9382680203844";"467.24";"367.9187655553534";"366.4057713411657";"1.5129942141876984";"0";"1211.019502465031";"0";"0";"0";"0.015282769840279795";"0.4403556627696555";"56.353858682101475";"56.80949711471141";"20200103:10"
"32.28037458420689";"1576.5776170429936";"417.73";"377.38180095547654";"333.78659034128066";"43.59521061419586";"0";"1199.195816087517";"0";"0";"0";"0.4403556627696555";"0.32280374584206917";"51.33697068477301";"52.100130093384735";"20200103:11"
"7.576357337159973";"1718.2166756864285";"260.03";"250.69281536956018";"218.73524453119535";"31.95757083836482";"0";"1467.5238603168684";"0";"0";"0";"0.32280374584206917";"0.0757635733715998";"33.64186926965314";"34.04043658886681";"20200103:12"
"12.520925711637698";"1782.9659596377132";"305.33";"261.1686034362363";"253.66800967244797";"7.500593763788372";"0";"1521.797356201477";"0";"0";"0";"0.0757635733715998";"0.1252092571163771";"39.01459061882707";"39.21556344931505";"20200103:13"
"-1.7763568394002505e-15";"1600.8585985247255";"14.59";"25.040869454521328";"12.645153000000006";"12.39571645452132";"0";"1575.8177290702042";"0";"0";"0";"0.1252092571163771";"0";"1.9448469999999958";"2.0700562571163728";"20200103:14"
"4.396483177515621e-16";"1442.0205113317309";"0";"0.8666999999999981";"0.8666999999999999";"-1.758593271006248e-15";"0";"1441.1538113317308";"0";"0";"0";"-1.776356839400252e-17";"4.396483177515625e-18";"0.13329999999999964";"0.13329999999999964";"20200103:15"
"1.0991207943789052e-16";"1394.1330200760933";"0";"0.8667000000000002";"0.8666999999999998";"4.3525183457404646e-16";"0";"1393.2663200760933";"0";"0";"0";"4.396483177515625e-18";"1.0991207943789062e-18";"0.13330000000000009";"0.13330000000000009";"20200103:16"
"1.099120794378905e-16";"1626.1512875681958";"0";"0.8667";"0.8666999999999999";"1.0881295864351161e-16";"0";"1625.2845875681958";"0";"0";"0";"1.0991207943789062e-18";"1.099120794378906e-18";"0.13329999999999997";"0.13329999999999997";"20200103:17"
"0";"2118.178398427175";"0";"0.8667000000000002";"0.8667000000000001";"1.0881295864351159e-16";"0";"2117.311698427175";"0";"0";"0";"1.099120794378906e-18";"0";"0.13329999999999986";"0.13329999999999986";"20200103:18"
"0";"2497.9059699331456";"0";"0.8667000000000001";"0.8667000000000001";"0";"0";"2497.0392699331455";"0";"0";"0";"0";"0";"0.13329999999999986";"0.13329999999999986";"20200103:19"
"2.19824158875781e-16";"2373.128703985358";"0";"0.8667000000000002";"0.8667000000000002";"0";"0";"2372.2620039853578";"0";"0";"0";"0";"2.198241588757812e-18";"0.13329999999999953";"0.13329999999999953";"20200103:20"
"5.495603971894524e-16";"1977.2138114915663";"0";"0.8667000000000004";"0.8667000000000001";"2.1762591728702318e-16";"0";"1976.3471114915662";"0";"0";"0";"2.198241588757812e-18";"5.495603971894529e-18";"0.1332999999999993";"0.1332999999999993";"20200103:21"
"1.0991207943789052e-16";"1666.6195900377488";"0";"0.8667000000000009";"0.8667000000000004";"5.440647932175579e-16";"0";"1665.7528900377488";"0";"0";"0";"5.495603971894529e-18";"1.099120794378906e-18";"0.13329999999999953";"0.13329999999999953";"20200103:22"
"2.19824158875781e-16";"1269.3557541283055";"0";"0.8667000000000002";"0.8667000000000001";"1.0881295864351161e-16";"0";"1268.4890541283055";"0";"0";"0";"1.0991207943789062e-18";"2.198241588757812e-18";"0.13329999999999964";"0.13329999999999964";"20200103:23"
"1.0991207943789047e-16";"1009.6468415910123";"0";"0.8667000000000007";"0.8667000000000005";"2.1762591728702318e-16";"0";"1008.7801415910122";"0";"0";"0";"2.198241588757812e-18";"1.0991207943789056e-18";"0.13329999999999942";"0.13329999999999942";"20200104:00"
"0";"770.9109496161476";"0";"0.8667000000000001";"0.8667";"1.0881295864351156e-16";"0";"770.0442496161476";"0";"0";"0";"1.0991207943789056e-18";"0";"0.13329999999999997";"0.13329999999999997";"20200104:01"
"0";"588.2290294486768";"0";"0.8667000000000007";"0.8667000000000007";"0";"0";"587.3623294486767";"0";"0";"0";"0";"0";"0.1332999999999993";"0.1332999999999993";"20200104:02"
"7.693845560652335e-16";"541.9676189811287";"0";"0.8666999999999997";"0.8666999999999997";"0";"0";"541.1009189811286";"0";"0";"0";"0";"7.693845560652341e-18";"0.13329999999999953";"0.13329999999999953";"20200104:03"
"7.693845560652335e-16";"522.3824963014368";"0";"0.8667000000000005";"0.8666999999999997";"7.616907105045811e-16";"0";"521.5157963014368";"0";"0";"0";"7.693845560652341e-18";"7.693845560652341e-18";"0.13329999999999953";"0.13329999999999956";"20200104:04"
"7.693845560652335e-16";"527.4476142358399";"0";"0.8667000000000005";"0.8666999999999997";"7.616907105045811e-16";"0";"526.5809142358398";"0";"0";"0";"7.693845560652341e-18";"7.693845560652341e-18";"0.13329999999999953";"0.13329999999999956";"20200104:05"
"5.495603971894524e-16";"652.3871899511156";"0";"0.8667000000000006";"0.8666999999999998";"7.616907105045811e-16";"0";"651.5204899511156";"0";"0";"0";"7.693845560652341e-18";"5.495603971894529e-18";"0.13329999999999964";"0.13329999999999964";"20200104:06"
"4.396483177515621e-16";"991.7500915561214";"0";"0.8667000000000005";"0.8666999999999999";"5.440647932175579e-16";"0";"990.8833915561214";"0";"0";"0";"5.495603971894529e-18";"4.396483177515625e-18";"0.13329999999999964";"0.13329999999999964";"20200104:07"
"5.418076161282448";"1493.1967670620256";"245.31";"207.86689759698643";"207.86689759698643";"4.3525183457404646e-16";"0";"1285.329869465039";"0";"0";"0";"4.396483177515625e-18";"0.05418076161282453";"31.970298199697964";"32.02447896131079";"20200104:08"
"96.57640188679238";"1871.729914026415";"760.34";"608.6998836243697";"603.3359882247";"5.363895399669623";"0";"1263.0300304020452";"0";"0";"0";"0.05418076161282453";"0.9657640188679247";"59.452090677529895";"60.472035458010645";"20200104:09"
"25.627608255462448";"1980.1234378226409";"441.86";"456.1348937315513";"360.5242558636268";"95.61063786792445";"0";"1523.9885440910896";"0";"0";"0";"0.9657640188679247";"0.2562760825546247";"55.44927115105759";"56.67131125248014";"20200104:10"
"9.571479285495943";"2062.516022888931";"367.92";"335.8682011256963";"310.4968689527885";"25.371332172907824";"0";"1726.6478217632346";"0";"0";"0";"0.2562760825546247";"0.09571479285495951";"47.75497015277119";"48.10696102818078";"20200104:11"
"3.0877813904790017";"2213.7942118631026";"241.93";"216.4532832389763";"206.9775187463353";"9.475764492640984";"0";"1997.3409286241263";"0";"0";"0";"0.09571479285495951";"0.030877813904790045";"31.83351015217076";"31.96010275893051";"20200104:12"
"13.667249125127654";"2267.8221364967353";"399.65999999999997";"337.4771702061214";"334.4202666295472";"3.0569035765742116";"0";"1930.344966290614";"0";"0";"0";"0.030877813904790045";"0.13667249125127667";"51.43443122385918";"51.60198152901525";"20200104:13"
"10.786097175205564";"2114.8555748777626";"358.99";"315.22447183412817";"301.6938952002518";"13.530576633876377";"0";"1799.6311030436345";"0";"0";"0";"0.13667249125127667";"0.10786097175205574";"46.401057148025416";"46.64559061102875";"20200104:14"
"0";"1967.2918057221532";"0";"11.544936203453508";"0.8667000000000001";"10.678236203453508";"0";"1955.7468695186997";"0";"0";"0";"0.10786097175205574";"4.024558464266196e-18";"0.1332999999999993";"0.24116097175205503";"20200104:15"
"2.19824158875781e-16";"1921.3680697835653";"0";"0.8667000000000006";"0.8667000000000006";"0";"0";"1920.5013697835652";"0";"0";"0";"0";"2.198241588757812e-18";"0.1332999999999992";"0.1332999999999992";"20200104:16"
"2.19824158875781e-16";"2280.653768597223";"0";"0.8667000000000005";"0.8667000000000002";"2.1762591728702318e-16";"0";"2279.787068597223";"0";"0";"0";"2.198241588757812e-18";"2.198241588757812e-18";"0.13329999999999953";"0.13329999999999953";"20200104:17"
